id,name,long_name,nationality,age,overall,potential,growth,club,contract,contract_type,contract_start_year,contract_end_year,positions,primary_position,preferred_foot,best_position,height_cm,weight_kg,value_eur,wage_eur,release_clause_eur,weak_foot,skill_moves,international_reputation,hits,joined_date,value_per_overall
158023,L. Messi,Lionel Messi,Argentina,33,93,93,0,FC Barcelona,2004 ~ 2021,active,2004,2021,"RW, ST, CF",RW,Left,RW,170,72,103500000,560000,138400000,4,4,5,771.0,2004-07-01,1112903.23
20801,Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,Portugal,35,92,92,0,Juventus,2018 ~ 2022,active,2018,2022,"ST, LW",ST,Right,ST,187,83,63000000,220000,75900000,4,5,5,562.0,2018-07-10,684782.61
200389,J. Oblak,Jan Oblak,Slovenia,27,91,93,2,Atlético Madrid,2014 ~ 2023,active,2014,2023,GK,GK,Right,GK,188,87,120000000,125000,159400000,3,1,3,150.0,2014-07-16,1318681.32
192985,K. De Bruyne,Kevin De Bruyne,Belgium,29,91,91,0,Manchester City,2015 ~ 2023,active,2015,2023,"CAM, CM",CAM,Right,CAM,181,70,129000000,370000,161000000,5,4,4,207.0,2015-08-30,1417582.42
190871,Neymar Jr,Neymar da Silva Santos Jr.,Brazil,28,91,91,0,Paris Saint-Germain,2017 ~ 2022,active,2017,2022,"LW, CAM",LW,Right,LW,175,68,132000000,270000,166500000,5,5,5,595.0,2017-08-03,1450549.45
188545,R. Lewandowski,Robert Lewandowski,Poland,31,91,91,0,FC Bayern München,2014 ~ 2023,active,2014,2023,ST,ST,Right,ST,184,80,111000000,240000,132000000,4,4,4,248.0,2014-07-01,1219780.22
209331,M. Salah,Mohamed Salah,Egypt,28,90,90,0,Liverpool,2017 ~ 2023,active,2017,2023,RW,RW,Left,RW,175,71,120500000,250000,144300000,3,4,3,246.0,2017-07-01,1338888.89
212831,Alisson,Alisson Ramses Becker,Brazil,27,90,91,1,Liverpool,2018 ~ 2024,active,2018,2024,GK,GK,Right,GK,191,91,102000000,160000,120300000,3,1,3,120.0,2018-07-19,1133333.33
231747,K. Mbappé,Kylian Mbappé,France,21,90,95,5,Paris Saint-Germain,2018 ~ 2022,active,2018,2022,"ST, LW, RW",ST,Right,ST,178,73,185500000,160000,203100000,4,5,3,1600.0,2018-07-01,2061111.11
192448,M. ter Stegen,Marc-André ter Stegen,Germany,28,90,93,3,FC Barcelona,2014 ~ 2022,active,2014,2022,GK,GK,Right,GK,187,85,110000000,260000,147700000,4,1,3,130.0,2014-07-01,1222222.22
203376,V. van Dijk,Virgil van Dijk,Netherlands,28,90,91,1,Liverpool,2018 ~ 2023,active,2018,2023,CB,CB,Right,CB,193,92,113000000,210000,145300000,3,2,3,321.0,2018-01-01,1255555.56
208722,S. Mané,Sadio Mané,Senegal,28,90,90,0,Liverpool,2016 ~ 2023,active,2016,2023,LW,LW,Right,LW,175,69,120500000,250000,144300000,4,4,3,189.0,2016-07-01,1338888.89
200145,Casemiro,Carlos Henrique Venancio Casimiro,Brazil,28,89,89,0,Real Madrid,2013 ~ 2023,active,2013,2023,CDM,CDM,Right,CDM,185,84,90500000,310000,122000000,3,2,3,175.0,2013-07-11,1016853.93
192119,T. Courtois,Thibaut Courtois,Belgium,28,89,90,1,Real Madrid,2018 ~ 2024,active,2018,2024,GK,GK,Left,GK,199,96,82000000,250000,119000000,3,1,4,96.0,2018-08-09,921348.31
167495,M. Neuer,Manuel Neuer,Germany,34,89,89,0,FC Bayern München,2011 ~ 2023,active,2011,2023,GK,GK,Right,GK,193,92,17500000,130000,47900000,4,1,5,118.0,2011-07-01,196629.21
165153,K. Benzema,Karim Benzema,France,32,89,89,0,Real Madrid,2009 ~ 2022,active,2009,2022,"CF, ST",CF,Right,CF,185,81,83500000,350000,108700000,4,4,4,216.0,2009-07-09,938202.25
155862,Sergio Ramos,Sergio Ramos García,Spain,34,89,89,0,Real Madrid,2005 ~ 2021,active,2005,2021,CB,CB,Right,CB,184,82,33500000,300000,50200000,3,3,4,212.0,2005-08-01,376404.49
153079,S. Agüero,Sergio Agüero,Argentina,32,89,89,0,Manchester City,2011 ~ 2021,active,2011,2021,ST,ST,Right,ST,173,70,83500000,300000,98100000,4,4,4,154.0,2011-07-28,938202.25
202652,R. Sterling,Raheem Sterling,England,25,88,90,2,Manchester City,2015 ~ 2023,active,2015,2023,"LW, RW",LW,Right,LW,170,69,114500000,270000,139600000,3,4,3,205.0,2015-07-14,1301136.36
215914,N. Kanté,N'Golo Kanté,France,29,88,88,0,Chelsea,2016 ~ 2023,active,2016,2023,"CDM, CM",CDM,Right,CDM,168,70,78000000,190000,96900000,3,2,3,202.0,2016-07-16,886363.64
212622,J. Kimmich,Joshua Kimmich,Germany,25,88,90,2,FC Bayern München,2015 ~ 2023,active,2015,2023,"CDM, RB",CDM,Right,CDM,176,73,103000000,145000,112100000,4,3,3,339.0,2015-07-01,1170454.55
